Comments,Sentiment
"In Fellowship of the Ring, Sean Bean has about 25 minutes of screen time. In that time, Boromir is initially established as a dutiful servant of Gondor, a battle weary warrior fed up with the lords of the lands kept safe by his people, a doubter of Aragorn, and someone with honorable desires upon The Ring. He's dismissive, weathered, prickly, and even a bit defeatist when the scale of the task is laid before the group.

He's then shown teaching Merri and Pippin to fight, through encouragement and light-hearted instruction. He's horrified when he accidentally hurts Pippin, because his intention is to teach not humiliate or discourage them. So he's absolutely joyous when the hobbits gang up, shrug it off, and tackle him in good humour. This tells us so much about Boromir. Even though he's doubtful about their mission, he takes the initiative and recognises where his party needs help, and knows how to level them up, without making them feel small, and builds bonds that he knows will make the group stronger. Bear this moment in mind when you consider Galadriel's scene in RoP, where she, as the superior swords person, is tasked with instructing the Numenorean recruits and what her actions tell us about her character.

Anyway, Boromir falls deeper under the influence of the Ring, but the film also shows him standing his ground and being brave against the Moria hordes and at every turn when the group need him.

When the Fellowship is fleeing the Balrog and the staircase is collapsing, he instinctively grabs Merri and Pippin and, without a word, he leaps them both to safety, again establishing his big brother relationship with them. It's such a small detail but it tells us so much, especially after Legolas, and even Gandalf have jumped alone. All through details and interactions that involve very little dialogue. All action. All intent. All with purpose and meaning.

After Gandalf falls, Boromir pleads with Aragorn for more time just to let the hobbits grieve. He's compassionate, emotional, and caring. He is miles away from the dismissive, prickly presence he was at the Council of Elrond. He's part of this Fellowship and he has a bond with the hobbits and the others that goes beyond duty. It shows Boromir, while a good leader, also thinks with his heart as much as his head, while Aragorn is more pragmatic and in a way ruthless. Both display different sorts of strength, but the situation calls for one over the other. And while Boromir protests, he doesn't argue further once Aragorn has made his reasoning clear. THAT also tells us a lot about both men.

Boromir is revealed to be an incredibly layered human being, one who is brave, loyal, compassionate and patriotic, but the burden of his father's failing rule and the pressure of protecting his people is crushing him. Haunting him. And it's that very thing, that incredibly noble desire to see darkness and ruin expelled from Gondor that is his undoing. That desire is the ring's way in.

And he falls to temptation. And his one moment of weakness almost destroys him. But rather than wallow in his failings, he rallies. He does all he can do to repent, and rescues Merri and Pippin in a desperate attempt to regain who he was.

And he is struck down.

His first words to Aragorn while he lies dying are to alert him that the Uruks have Merri and Pippin. His second statement is his confession that he tried to take the ring. He is broken, dying, and guilt-ridden, but still trying to protect the hobbits and act with honor.

And then before he dies, in his last breath, he accepts Aragorn as his king and makes sure Aragorn knows it. Because Boromir has only ever wanted one thing - the strength to defend his people. And now, he sees that strength might exist in Aragorn, and he knows saying the words will help make Aragorn a stronger leader going forward. He now has hope even in his darkest moment, when he began the story defeatist, bitter, and hopeless. Boromir does all he can until the end, despite his flaws and failures. He's no longer the dismissive and doubtful captain of Gondor, but a man who calls Aragorn his brother, his captain, and the king he trusts to bring glory back to his people.

And it's a breath-taking moment. Resonant. Earnest. Earned.

They accomplish all that, that entire emotional journey, that rise, fall, and rise again for his character, in 25 minutes of screen time.

Now look at RoP. Galadriel is exactly the same callous, single-minded, revenge-driven asshole at the end of the series as she was in ep1. Actually, no. She's worse. Because now, she has actually discovered who the enemy is and smoked out his intentions... and chooses to tell no one. 

All to protect her own reputation. All so she can maintain an air of authority and superiority over her peers, because if they knew the truth, her name would be mud, and she'd be nowhere near the decisions taken to forge the rings, how many there'd be, and who'd get to bear them. 

But she's not like Boromir. Not written like him. Not developed like him. Not treated with the same care, talent, and humanity his character was treated with. She's a statue, standing still in spiteful, vengeful self-righteous self-service. Just like she was at the beginning of the series.

9 hours ago. 

With over 3 hours of screen time just for her. But if you don't find yourself liking her (for some reason), or interested in her character, it's because you're sexist. Or a troll.

The issue isn't unique to Galadriel. In fact, nobody has changed at all throughout this first season. How could they? We know so little about most of our characters to begin with, never mind how they might have transformed or grown. Except maybe Durin (whose storyline got ignored in the finale) and of course, the bloody bad guy.

That's fucking criminal. That's a fucking criminal excuse for storytelling when a prestige franchise is in your hands.",Positive
this series did a great job at uniting the fandom of lotr against it,Positive
"All I want out of any Tolkien series is one that respects the lore, is consistent to the world Tolkien built, has great acting, has a plot that isn't overly predictable and makes sense, does not contain any religious, ideological or political agendas from outside the Tolkien lore and world.
At minimum, if any of the above are violated, then they're just trashing one of the great works.

To that I say, create your own IP from ground up and then you can do whatever you want with it.  Don't Fck up an established IP's lore due to bad writing, not doing your homework, and bowing down to present day religious, ideological and political agendas.",Positive
"When the hobbit said his heart was bigger than his feet, I clapped. Tolkien was an absolute genius!",Positive
"Часть, где Саурон признался в любви Дарту Вейдеру на глазах Шрека, была прекрасна!❤❤❤",Neutral
"Amazon's efforts to buy positive media coverage is truly outstanding.
If only they were half as invested in making good shows....",Positive
"With all due respect, Sauron saying 'WHAT ARE YOU DOING IN MY SWAMP!?' was the highlight of this series",Negative
"""One thing we can do better any creature in all Middle-Earth, we stay true to each other with our hearts even bigger in our feet."" Truly one of the lines of all time. Such an amazing line!",Positive
I have a friend who finished episode one of ROP and she was worried about not knowing the story as she hasn’t read The Silmarillion or LOTR ... Told her “Neither has Amazon so don’t worry about it.”,Neutral
"""Our heart is bigger than our feet"" truly phenomenal writing.",Positive
"My favorite part of The Lord of the Rings was when Frodo said, ""Get off the road!"" and Doc Brown put on his sunglasses and coolly replied, ""Where we're going we won't need roads.""",Positive
"Elrond shouting ""GONZO, We can't stop here. This is bat country."" Still makes me cry everytime 😭",Neutral
"This doesn't look as bad as people say, it actually looks pretty cool.",Negative
There are two things time can't heal: A stab from a Morgul blade and the mental damage from watching Rings of Power,Negative
"Say all you want, but this series saved my brother's life. He was paralyzed for 10 year after he had car accident. He was big fan of Tolkien, i showed him this trailer and he, after 10 years of living as plant, finally stood up and shut down the TV and said ""My eyes started to bleed, i was horrified"". I forgot sound of his voice... Thank you Amazon.",Positive
"I was hooked from Galadriel's opening line:  ""Life moves pretty fast.  If you don't stop and lookaround once in a while, you could miss it"".  I'm shaking with anticipation.  Not even Tolkien could envision such a majestic quest to the distant lands of downtown Chicago.",Positive
The 610k dislikes to 56k likes ratio goes hard 😂 Tolkien's SPINNING in his grave right now,Negative
"This show is the reason I don't get excited when someone wants to make a film or a show of something I like, this show is the reason that anytime someone wants to make a film or a show of something I like I go ""please don't""",Positive
"the scene where galadriel put the power rings in the infinity gauntlet, i was really moved there",Positive
"My favorite part was beholding the “not all those who wander *or wonder* are lost” song. It’s just like the lyrics Tolkien would have written for the show, a true auditory masterpiece.

They obviously did their homework (back to the book back to the book) and I for one am thrilled to enjoy another 4 seasons of work from these master cinematographers. Here’s to hoping I don’t die in a car accident before season 2 👍🏽",Positive
"One trilogy to win them all
One trilogy to cash them
One show to lose them all
And into the nostalgia bind them",Positive
Nothing screams Tolkien like modern music. 10/10,Positive
"This series isn't too bad if you consider this as a fan-fiction of the original. At least, the Arda is alive and more beautiful than the movie trilogy. Really feel like people are actually living in this world.",Positive
This comment section has single-handedly restored my faith in humanity.,Neutral
"The expectations were high, nostalgia, reputation, its hard, to be impressive, but now im watching it again, and yes, this serie is impressive, its beautiful, intelligent, its a masterpiece",Positive
"I must admit that Amazon is very brave to make a second season of this series... I don't understand how they could do something so bad with such a good IP, they should fire JD Payne and McKay, accept that their work was a fiasco and restart the project",Positive
I loved the scene where Galadriel pulled out a warhammer and roared: GALADRIEL SMASH!,Positive
"I was thrilled to see that they included Galadriel and Steppenwolf's iconic lightsaber duel in the Chamber of Secrets, that's really the turning point in the books for me, so relieved to see JK Tolkien's masterpiece is in good hands.",Positive
"Thank you amazon for making me appreciate the Peter Jackson trilogy so much more, including the 
.
Oh! and thanks for summarizing the whole series in the trailers, since chapter 2 everyone already knows what ""important"" events are going to happen. excellent service 🙃👍",Positive
"I love how Amazon still refer to this as a ""hit show"".",Positive
This trailer is soooo much stronger than what the series ended up providing.,Positive
Never ever I wanted Orcs to Win so bad.,Positive
Ive never seen so many dislikes on a official trailer,Positive
"I  fell in love with the scene, where Xena arrives at the battlefield on the  planet Geonosis, where they are fighting for the iron throne and she screams ""This is Sparta!!!"".
Tolkien was literally a genius.",Positive
"Gotta hide those dislikes, well done Amazon subverting both our expectations and our criticisms, truly brave!",Positive
"I just watched Return of the king and after seeing this trailer I have nothing more to say 😞
Reast in peace good old times 💔😥",Positive
"saddly in this trailer i can see how  great Lotr was beside what was coming after,i dont think in this life i will see another similar movie with such intensity
now i see only shadows of that flame💔",Positive
"Thank God this series is released, healed my insomnia while watching it. 😂😂",Neutral
"can't wait for season 2, hope we get to see Sauron forging the One Ring itself",Neutral
"When Gandalf said, ""SAY HELLO TO MY LITTLE FRIENDS!"" and the hobbits came into the scene it had me tearing up",Negative
"Llevo 3 capítulos de la serie, se me han quitado las ganas de seguir viéndola",Neutral
You know the writers weren't paying attention when they made the sailors say the sea is always right and then the top sailor said his wife drowned,Positive
OH I Finally Watched the show… And I rewatched All three Lord of the Rings movies To gain Back my senses,Neutral
"The most successful fantasy film heavily inspired by ancient European cultures and this is the respect it gets.  Thank you for stealing our culture, history and therefore our identity.",Positive
They couldn't have a done a worst job. Bravo!,Negative
After watching RoP I'm starting to understand Saurons desire to destroy middle earth.,Negative
"""Hearts bigger than our feet"". What an absolute gold nugget of dialogue. Tolkien couldn't have done it better!",Positive
This is not what Tolkien wrote. It’s a whole different story.,Positive
"""Despite a billion dollar spend, just 37% of viewers finished Amazon's Rings of Power"". I question the sanity of those 37 percent.",Neutral
For anyone wondering: this video now has 78k likes and 4.2 million dislikes.,Neutral
The fact they think they can re-create a masterpiece without J.R.R Tolkien is funny,Positive
"великолепный сериал! Персонажи продуманы, диалоги шикарные! Даже не ожидал такого, СУПЕР!",Neutral
"At the moment when Galadriel says ""You're a wizard, Gandalf"" I almost cried. Such a beauty",Neutral
Don’t compare this with HOTD. This show is also a pure gem ❤️,Positive
The fact that every LOTR fan hates this show with a passion makes me have faith in humanity.,Neutral
"Sales of Tolkien increased by 1000% after LOTR. 
Jackson's formula - honor Tolkien, follow the lore, and don't insert your own politics - clearly worked.
Amazon's formula - contradict the lore, insert modern identity politics as the DNA of the show, and delete all negative reviews - clearly failed.",Positive
My god after watching first two episodes i had to go back and watch the LOTR movies as an antidote to counteract the poison that was fed to me,Positive
The fact that this is all happening in nurse Maud's imagination in the final moments of her demise is astounding.,Positive
I came with an open mind but I have to say that the people critisicing this show were downplaying it,Neutral
I was not moved by any of the episodes. The series is a pale sister to Tolkien’s and Jackson’s masterpieces.,Negative
"All they had to do was follow Tolkien's words. Respect his work and the wonderful world he created. It was that simple. 
But no, amazon had to botched the story and the characters... I've never been so disappointed by anything related to TLOTR until now...",Positive
The people involved in the making of this should be held accountable for crimes against humanity,Neutral
"Best Star Wars trailer ever. Love the books for Game of Thrones, and how well they are adapted here. George Lucas did an amazing job.",Positive
If you watch this supporting Sauron then it's actually not bad.,Positive
"Great show, loving it so far!🙏",Positive
"Pretty enjoyable show in the middle earth setting. Keeps with the general themes of the universe. Some people just want to feel special for finding marginal inconsistencies with source material, but if you actually have a life it's not a bad show.",Positive
This show looks great!  I don´t cary what everyone says! Who would have said that a live-action of 1995 Pocahontas was going to be so breathtaking :),Positive
Admitting this thing flopped was probably the most adult thing you guys have done in a long long time congratulations! You've taken your first step into a larger world.,Positive
The part were Elrond says ''This is my ninja way'' and proceeded to Naruto run was breathtaking!,Positive
this trailer syncs perfectly with the benny hill theme.  that can't be a coincidence.,Positive
The bestest web series I have ever seen less talks and more action,Positive
"Before this movie comes out, I expect the old series to be much better than the new one",Positive
I remember getting goosebumps and chill when I watched the lotr and hobbit trailers. I didn’t feel a single emotion watching this,Negative
Subscribed to Prime for this and wasn't disappointed...So much better than any series Netflix or Disney has come up with...Great to watch with kids... rewatching LoTR and the hobbits trilogy as well....,Positive
This parody of LOTR seems awesome and very funny by the trailers. It's like medieval Sharknado meets Scary Movie and the Twilight movies. Love it. Can't wait to watch it. 11/10 <3,Positive
This masterpiece deserves a film actors guild award.,Neutral
THERE IS A TEMPEST IN ME - A TRUE TOLKIEN LEVEL LINE 👏,Positive
Hopefully they turn things around in the second season.,Neutral
This show had me rooting for Sauron.  And I didn't even watch it.,Neutral
Wow... To be alive and finally see galadriel helping luigi and mario save the princess... Such a wonderful moment.,Positive
"*without the sword, who am I?* 
Ah yes this is exactly how Galadriel is",Positive
Rings? Nothing rings familiar here in the absolute least. This is why it took Tolkien to create a masterpiece...,Positive
Imagine this being your legacy,Neutral
"Congratulations! Future generations will look back at this and mock the living crap out of us.

Thanks Amazon.",Negative
"just amazing 10/10, but i must say that the world of JRR tolkien in the lord of the rings in the book is far much better",Positive
"When Sauron looked at Gimli and said ""You're a wizard, Gimli"" i began crying. That statement was so well captured, i bet George Lucas is proud.",Positive
"Forget the whole race question; that's a fairly minor point. They really mucked around with the back story with some of the major characters to the point of destroying the characters that Tolkien created. This makes what Jackson did to Denethor look good.

Galadriel's actual history in the Silmarillion and the appendixes to LOTR was nothing like this.",Positive
"Got insomnia? Put this show on, guaranteed eight hours of the best Zs you'll ever catch.",Positive
OMG over 90% dislikes. Must be a disaster.,Neutral
After this show I re-watched the original trilogy for the 100th time and forgot about the abomination you've created.,Positive
a tak dobrze się zapowiadał :),Positive
The reveal of baby Gandalf stole my heart.,Neutral
"RoP can be viewd as involuntary metafiction. 
It is a tv show about the Second Age, the Age in which the central theme is how hubris causes downfall: Elven hubris let Sauron return, decive them and forge the rings. Men's hubris let Numenor fall . Sauron's own hubris let the last alliance win. The hubis of Isildur let the ring survive. 
And in a way RoP moves along the line. Amazon's hubris let them spend a billion dollars on the false premise that pouring endless money could bring them the best Tv show ever; and showrunners' hubris let them operate careless of lore, fandom and tolkenian themes on the false premise that calling ""rose"" a pig, or ""Galadriel"" a awful teenager with anger issues, could decive the pubblic. And doing so, all of them failed miserably.
RoP is a metafictional cautionary tale of how hubris could destroy anyone.",Negative
"A solid show overall. Fantastic soundtrack, good visuals, and a rounded plot. It could have done with some bigger battles though. It just didn't give that true feeling of scale at the end.",Positive
"Big companies really have a great way of ruining amazing things, I just don’t know how they do it",Positive
"I read classic stories to my kids every night, George MacDonald, CS Lewis, JRR Tolkien, Madeleine L'Engle, etc. To see a show look at all the timeless themes and virtues of JRR Tolkien, throw them all out, then say they want to do something ""timeless"" (even though it will look dated in 10-20 years) by revising Tolkien to what the Amazon writers see fit, honestly makes me just sad - sad for Tolkien, sad for Amazon - to see something so beautiful, ruined.",Positive
I’m still in awe they made this I hope they don’t make another season out of respect for Tolkien 👍 it’s like someone making a Harry Potter series randomly and changing things and not respecting the original writers details it’s crazy to me,Negative
"The way Galadriel says ""umm guys.. you might want to see this!"" Was so stunning and brave. The writers of rings of power wrote her character way better than what Tolkien could.",Positive
It was a real shock to see that Sauron was actually the good guy and he got killed by mistake because of the fake tatoos Galadriel wrote on her body to get her revenge.,Positive
Rooting for my boy Sauron,Neutral
"I'm really excited to binge this, I am a MAJOR fan of the books.",Positive
"The writers and producers want diversity and feminism for politics.
The audience are tired of diversity and feminism in reality and just want to watch a good or well written series.",Positive
Looks like watching original LOTR while having a bad trip :D,Positive
A fascinating tale of illogical beings making irrational decisions in an incoherent world of strange conveniences and unrealistic contrivances.,Negative
"Our hearts, even bigger than our feet...

Chills bro CHILLS",Neutral
"For anyone wondering, this video right now has more than 10x the amount of downvotes than upvotes.",Positive
"I really wouldve been satisfied with pretty much anything, just wanted to relive that world.... still couldn't finish it",Positive
After this im going to watch lotr trilogy which will cost me 15 years of my life,Neutral
"When Frodo looked at Sam and said ""I love you."" And he stood there and said ""I know"". Brings me to tears every time.",Positive
Amazon or Netflix they can never touch the standard of Hollywood legacy and excitement that delivers the audience in theaters.,Neutral
"Теперь сравните весь этот сериал и весь нынешний кинематограф со сценой  когда Сэм несет Фродо  . 

I can't carry it for you, but i can carry you.",Neutral
I like how they refuse to show how many dislikes 😂,Positive
"Absolutely loved The Rings Of Power! 👏🏻💯
We need more films and TV series on the history of Tolkien's Middle Earth to join our beloved, growing LOTR saga. I would love to see an adaptation of Beren And Luthien someday.",Positive
No one but Peter Jackson shouldve had the license to make this show,Neutral
"Elrond said, ""Hey Galadriel, have you ever been mistaken for a man?"". Galadriel answered, ""No. Have you?""  such brilliant writing, even Tolkien himself would be ashamed.",Positive
One of the shows ever to exist in the mortal spectrum,Neutral
I really hope we gets to see the blue wizard 🧙‍♂️,Positive
I dont hate it but it can never be the same as it was😔,Negative
"When my friend, a girl, said that she did not like it and cannot bear to continue watching, I've decided not to waste my time. I just want to keep my memories of the LOTR intact. People who creates series like these are the ones who are actually destroying the female image. Look at  House of the dragon. It's the best I've watched in 2022 and the main protagonist is a woman.",Positive
"One book series to rule them all, one movies series to find them, one streaming series to bring them all.... and in the end divide them",Neutral
"""Our hearts, even bigger than our feet."" What amazing script writing, truly better than any speech by Aragorn or anyone from the original LOTR trilogy.

For those people who don't understand sarcasm *sarcasm alert*",Positive
"It's interesting to me how people's minds have no problem imagining a fantastical world of elves shooting 3 arrows per second, wizards shooting light from their staves, and orcs taking over the world, but as soon as one of these fantastical races' has a darker hue, they stop there.",Positive
"Watching the trailer it feels they are trying to glamorize something, like trying to sell something, tone of lotr trilogy was very simple yet discreptive and it was pointless to glamorize goodness, friendship, duty, respect etc as they in themselves are very powerful. LOTR story, their characters, their qualities etc were itself very powerful that didn't need any glamorization.",Positive
"This is the only show I have watched with the only purpose after every episode to go on Youtube and laugh with the memes that creates 
Now that is entertainment",Positive
Just make every character who ever picks up a sword or fights men! That will instantly make the show 1000 times more appealing.,Positive
This is somewhat contrary to what JRR Tolkien explained about the Rings of power.  3 rings for elves were created later after Celebrimbor created 16 rings.  And the forging of the 16 rings was done with the help of Sauron disguised as the elf Annatar.  While the 3 rings were created secretly by Celebrimbor without Sauron's knowledge,Negative
I love that Galadriel acknowledges that she is nothing without her sword Mjölnir and can’t wait to see her say: “By the power of Grayskull I have the power” as narrated in the book.,Positive
"Despite this comment section, I actually really like this show. It’s like watching a train wreck in slow motion, except instead of a train, it’s a string of old lore. And instead of a wreck, it’s a corporation but* f***ing a beloved series",Positive
Absolute fun!! I love this series.,Positive
I should probably watch this someday.,Neutral
How did Elrond go to moria twice in such a short time? How did Galadriel swim thousands of miles? An immortal woman But she can get tired. The thing I'm most curious about: Who is Celebrimbor's hairdresser?!,Negative
It’s like the twilight version of LOTR,Neutral
"""I know what your thinking,  did I forge six rings or was it only five?  Well do you feel luck punk?""  True genius. Loved it.",Positive
"The series is expected to be the most expensive TV show in history, with Amazon expected to spend at least $1 billion on its production. Amazon was in a bidding war with Netflix for the rights to the addendums of the novels, with Amazon acquiring the rights in the end at a cost of $250 million.",Negative
"It would be a good idea doing a ""canon"" reboot of the serie, directed by peter jackson/someone elected by him, and a good assesor(i think theres some of his friends,(or some who meet him in life)still alive. Perhaps some others writers who posted with him.  Perhaps there still some of the original cast who are interested at the idea. If not, you can catch some of the semi professional actors of the fanfilms (theres one based on Arathorn (father of Aragorn)life.although not being so great actors like hugo weaving they can do it very well too. And if you count with enough money,(such would be amazon for the reboot) you can improve their actuation prowess,doing better actors.
So, you have good director, good assesor,good actors.
Just left a good screen writer. William monahan of ""kingdom of heaven"" it would be a great election. At least is a person who  document himself in each film that he works. 
So you have already a great script, a directir sudtitute elected by Peter Jackson, and almost professional actors coming from the fanfilms.wardrobe and scenarios can be the same as ""rings of power"", but please...music of bear Mc creary its good but ""something is missing"" I dont know...power maybe. I wouldnt have problem if its ""the same thing"" that its made in rings of power, but it would be "" icing on the cake"". If it were only howard shore ""at his own.leisure""

Doing that,(only putting money and helping in pubicity) amazon would recover lost image of ""failed"" first version of rings of power. Doing a goid reboot, recovering fans, and money lost, ...and fans would be expecting the  following film or serie.
What do you think? What would prefer the fandom?",Positive
the fact that visually it's so stunning but it lacks everything else,Positive
"This series is hands down the most impressive example of mastery in subversion, shitty writing, acting and behavior. 
10/10 money laundering operation",Positive
"When Galadriel was pointing her gun at the orc's face and said ""Do You Feel Lucky, Punk?"" and the orc dismantled his male privilege. That was so efing  stuning a brave truly a movie ever made.",Positive
"The  LOTR has a thematic orchestration as a requirement of the production. No matter what it looks like it will never ""feel"" right without it.",Positive
"Whereas Melkor spent his spirit in envy and hate, until at last he could make nothing save in mockery of the thought of others, and all their works he destroyed if he could
- JRR Tolkien",Negative
இந்த படம் எனக்கு ரொம்ப புடிச்சிருக்கு.. கிராபிக்ஸ் அல்டிமேட்.. கேரக்டர் மாஸ்சஸ் fight வேற லெவல்... பான்டஸி அல்டிமேட் 🔥🔥🔥🔥,Neutral
I am not even a Tolkien fan but dear god can I feel the disrespect of the idiotic writers are giving to Tolkien and his work,Negative
"i want to here by thank mister bezos for teaching me the real value of what mister tolkien and mister jackson have left behind for us. this is a lesson, that no money and no power in the world can buy real values, intelligence, love, the skill of story telling. i just rewatched the whole peter jackson trilogie and it left me in awe like never before.",Positive
Almost makes the hobbit trilogy watchable.,Neutral
"When Sauron picked up the ring and said ""are we some kind of lotr: the rings of power?"", brought chills down my spine. Incredible quote",Positive
"The first real elf of color was in that dungeons and dragons movie, now a masterpiece after the rings of Karen disaster!!",Positive
"As a fan of Tolkien's works, i don't know how to feel about this..... I fear this is going to be a joke",Neutral
'Our hearts are bigger than our feeeet! Deeerrr!' - Emmy in the making,Neutral
Love it😍,Positive
"Thank you amazon! I have never seen such a fine piece of trash in my entire life. Although, I didnt know trash could be that expensive to produce.",Negative
"This is definitely one of the most TV series of our time. I would love to watch it, but I've got some paint drying in my dining room and I just can't miss out on that kind of excitement.",Positive
"After going through so much of tolkiens content, and realising what on earth that man did I even feel more negative about the rings of power. I honestly wish the gate keepers were stricter against amazon",Positive
"before starting the show i stayed away from reviews online just to not cloud my judgment, after watching the first episode, i said it ll get better and after the 4th episode i gave up and watched the original LOTR just to detox",Positive
I guess the sea was always right. The sea of Tolkien fans saying this is terrible.,Negative
The work of TOLKEN❤,Neutral
Go Galadriel!! Go and don't you ever dare to comeback !,Neutral
"This is an incredibly impressive trailer! 489,000 dislikes. I don't know how many trailers can accomplish that.",Positive
"My wife's boyfriend really enjoys the show, so I do too!",Positive
"I have just finished second episode, defenetly this show has got beautiful shots, they look incredible, like no other show almost, I think, it's a pleasure to look at it, defenetly they try to make it look like the original Lord of the Rings which is obvious but, it's a series, so there is a lot of boring stuff, I guess every series need to have these, it's like your not showing a book so why not to really make a show entertaining, like the LOTR was, forget the boring things, we have a lot of these in real life stop forcing it more, go straight in and expand it, but I have to admit this one is looking actually better then the hobbit movie, which supposed to be almost like a LOTR cuz same director right? But it was far away from it

Episode 4: unfortunately they managed to make a series in a bad meaning of this word, episode 3 and 4 could not exist, brings nothing, if its going to continue like that (personal opinion) waisted opportunity.

Episode 7: BORING 
… me seeing that episode 8 is actually going to be finale… WHAT THE ACTUAL FAK? what was it? Is started great with first episode, beautifully made, but BORING AS FAK after first 2 episodes, and now episode 8 is going to be the last one ? Nothing happened!! Literally NOTHING, the only thing that actually got me interested while skipping episode 7 every 10 seconds cuz it was extremely boring was the ending actually showing that that’s how Mordor was made, that’s it, all what happened after episode 2 could not exist and then only that, what a waste omg, but I’m actually not that bothered because all you can hear in the internet is how bad this series is so yeah.

EPISODE 8: that’s the impressive one, magic really got me and again just the beauty of this series, the boring things are just a party of something bigger, I leads to more impressive, and the last episode just makes me appreciate well made series like this",Positive
I’ll just replay the old 3 movies.,Positive
this was amazing i need season two,Positive
Great series,Positive
"When Sauron says ""Say my name"" and Galadriel answers ""Heisenberg"" gives me the chills every time.",Neutral
"la serie esta medio buena, lo unico que me molesta es galadriel, me parece insoportable, pero el resto de personajes me parece que estan bien",Neutral
I love how almost every comment is just slating this appalling series by Amazon. Faith in humanity restored.,Positive
"I told my cousin sauron proposed to galadrial..... He hasn't seen it and is a fan of the movies and books... So naturally he looked at me like ""pffft you aren't going to bullshit me"". I had to promise I was telling the truth multiple times for him to believe it... The show is indeed that bad.",Negative
One of the most wasted oppurtunities in cinematic history.,Positive
We must give them some credit that they wasted such big amount of money to create a fanfiction of movie we love.,Positive
It's amazing how much farther my eyes can roll with every new trailer,Positive
"Talion from shadow of war had pretty good run if you think about it,he basicaly was keep converting Sauron`s soldiers including highest tear officers to betray Sauron and fight against evil forces of his while also on regular basis taking over Sauron`s castles and lands for many decades and with no real friends or allies and after all that Sauron still basically gave it to Talion main guy position when it comes to his forces cuzz it was either that or keep getting but ducked by Talion...

Talion in entire story of lord of the rings was literaly the most bad ass and most powerfull guy and sustained status like that for once again,many decades...",Positive
The whole time I feel lack of something after watching the lord of the rings and the hobbit. God damn.... Rings of power is the beginning of all of them... That's why.... at first I though this series is a spin off,Positive
Congratulations ROP 👏🎉 you turned a literary masterpiece into a cinematic cesspool of bad writing.,Negative
The visuals looks stunning 🤩,Positive
Please get Mark Wahlberg for season 2,Neutral
"Not gonna lie... Using Hanna Montana's ""Born in the USA"" song really elevate this trailer and brings Tolkien's universe to real life. So brave.",Positive
Why not go all the way? Throw in some hip-hop music and a character who is an activist opposing the patriarchy within Sauron's army?,Neutral
The only way I could watch this show would being not seeing it as Tolkiens work and this as a whole new story and world,Positive
the gimli gimme my meat and give it to me raw scene sent shivers up my spine.,Negative
What are these people doing to our precious childhood movies....... 😭,Positive
"Calm down everyone, this LOTR TV series is purely based on movie Galadriel still in Lothlorien thinking about taking the ring from Frodo or not while also thinking about writing a fantasy novel of her doing a bunch of things she never did.",Positive
"2:30 If you're nothing without your sword, then you shouldn't have it!",Neutral
"The moment Aragon said ""I don't have friends, I got family"" gave me Chills....",Neutral
I'm sooo glad I missed this,Positive
"It began with the forging of the great films. Threads were given by Tolkien, immortal, wisest and fairest of all beings. Rights were granted to Jackson, great miner and craftsman of the mountain of lore. And nine, nine hours were gifted to the race of men, who above all else, desire quality. But they were all of them deceived, for another show was made. In the land of Amazon, in the fires of Mount Prime, the Dark Lord Bezos forged in secret a master flop. And into this show he poured his money, his greed and his will to dominate all film. One show to ruin them all.",Positive
